    1,medicine1                                        ,  2.000000,       100,tablet             ,300                ,D
 3977,medicine3977                                     ,  8.000000,       100,injection          ,7mg                ,D
 3978,medicine3978                                     ,  9.000000,       100,tablet             ,8mg                ,A
 3979,medicine3979                                     , 10.000000,       100,injection          ,9mg                ,D
 3980,medicine3980                                     ,  1.000000,       100,tablet             ,0mg                ,A
 3981,medicine3981                                     ,  2.000000,       100,injection          ,1mg                ,D
 3982,medicine3982                                     ,  3.000000,       100,tablet             ,2mg                ,A
 3983,medicine3983                                     ,  4.000000,       100,injection          ,3mg                ,D
 3984,medicine3984                                     ,  5.000000,       100,tablet             ,4mg                ,A
 3985,medicine3985                                     ,  6.000000,       100,injection          ,5mg                ,D
 3986,medicine3986                                     ,  7.000000,       100,tablet             ,6mg                ,A
 3987,medicine3987                                     ,  8.000000,       100,injection          ,7mg                ,D
 3988,medicine3988                                     ,  9.000000,       100,tablet             ,8mg                ,A
 3989,medicine3989                                     , 10.000000,       100,injection          ,9mg                ,D
 3990,medicine3990                                     ,  1.000000,       100,tablet             ,0mg                ,A
 3991,medicine3991                                     ,  2.000000,       100,injection          ,1mg                ,D
 3992,medicine3992                                     ,  3.000000,       100,tablet             ,2mg                ,A
 3993,medicine3993                                     ,  4.000000,       100,injection          ,3mg                ,D
 3994,medicine3994                                     ,  5.000000,       100,tablet             ,4mg                ,A
 3995,medicine3995                                     ,  6.000000,       100,injection          ,5mg                ,D
 3996,medicine3996                                     ,  7.000000,       100,tablet             ,6mg                ,A
 3997,medicine3997                                     ,  8.000000,       100,injection          ,7mg                ,D
 3998,medicine3998                                     ,  9.000000,       100,tablet             ,8mg                ,A
 3999,medicine3999                                     , 10.000000,       100,injection          ,9mg                ,D
 4000,medicine4000                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4001,medicine4001                                     ,  2.000000,       100,injection          ,1mg                ,D
 4002,medicine4002                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4003,medicine4003                                     ,  4.000000,       100,injection          ,3mg                ,D
 4004,medicine4004                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4005,medicine4005                                     ,  6.000000,       100,injection          ,5mg                ,D
 4006,medicine4006                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4007,medicine4007                                     ,  8.000000,       100,injection          ,7mg                ,D
 4008,medicine4008                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4009,medicine4009                                     , 10.000000,       100,injection          ,9mg                ,D
 4010,medicine4010                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4011,medicine4011                                     ,  2.000000,       100,injection          ,1mg                ,D
 4012,medicine4012                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4013,medicine4013                                     ,  4.000000,       100,injection          ,3mg                ,D
 4014,medicine4014                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4015,medicine4015                                     ,  6.000000,       100,injection          ,5mg                ,D
 4016,medicine4016                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4017,medicine4017                                     ,  8.000000,       100,injection          ,7mg                ,D
 4018,medicine4018                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4019,medicine4019                                     , 10.000000,       100,injection          ,9mg                ,D
 4020,medicine4020                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4021,medicine4021                                     ,  2.000000,       100,injection          ,1mg                ,D
 4022,medicine4022                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4023,medicine4023                                     ,  4.000000,       100,injection          ,3mg                ,D
 4024,medicine4024                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4025,medicine4025                                     ,  6.000000,       100,injection          ,5mg                ,D
 4026,medicine4026                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4027,medicine4027                                     ,  8.000000,       100,injection          ,7mg                ,D
 4028,medicine4028                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4029,medicine4029                                     , 10.000000,       100,injection          ,9mg                ,D
 4030,medicine4030                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4031,medicine4031                                     ,  2.000000,       100,injection          ,1mg                ,D
 4032,medicine4032                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4033,medicine4033                                     ,  4.000000,       100,injection          ,3mg                ,D
 4034,medicine4034                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4035,medicine4035                                     ,  6.000000,       100,injection          ,5mg                ,D
 4036,medicine4036                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4037,medicine4037                                     ,  8.000000,       100,injection          ,7mg                ,D
 4038,medicine4038                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4039,medicine4039                                     , 10.000000,       100,injection          ,9mg                ,D
 4040,medicine4040                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4041,medicine4041                                     ,  2.000000,       100,injection          ,1mg                ,D
 4042,medicine4042                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4043,medicine4043                                     ,  4.000000,       100,injection          ,3mg                ,D
 4044,medicine4044                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4045,medicine4045                                     ,  6.000000,       100,injection          ,5mg                ,D
 4046,medicine4046                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4047,medicine4047                                     ,  8.000000,       100,injection          ,7mg                ,D
 4048,medicine4048                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4049,medicine4049                                     , 10.000000,       100,injection          ,9mg                ,D
 4050,medicine4050                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4051,medicine4051                                     ,  2.000000,       100,injection          ,1mg                ,D
 4052,medicine4052                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4053,medicine4053                                     ,  4.000000,       100,injection          ,3mg                ,D
 4054,medicine4054                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4055,medicine4055                                     ,  6.000000,       100,injection          ,5mg                ,D
 4056,medicine4056                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4057,medicine4057                                     ,  8.000000,       100,injection          ,7mg                ,D
 4058,medicine4058                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4059,medicine4059                                     , 10.000000,       100,injection          ,9mg                ,D
 4060,medicine4060                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4061,medicine4061                                     ,  2.000000,       100,injection          ,1mg                ,D
 4062,medicine4062                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4063,medicine4063                                     ,  4.000000,       100,injection          ,3mg                ,D
 4064,medicine4064                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4065,medicine4065                                     ,  6.000000,       100,injection          ,5mg                ,D
 4066,medicine4066                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4067,medicine4067                                     ,  8.000000,       100,injection          ,7mg                ,D
 4068,medicine4068                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4069,medicine4069                                     , 10.000000,       100,injection          ,9mg                ,D
 4070,medicine4070                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4071,medicine4071                                     ,  2.000000,       100,injection          ,1mg                ,D
 4072,medicine4072                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4073,medicine4073                                     ,  4.000000,       100,injection          ,3mg                ,D
 4074,medicine4074                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4075,medicine4075                                     ,  6.000000,       100,injection          ,5mg                ,D
 4076,medicine4076                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4077,medicine4077                                     ,  8.000000,       100,injection          ,7mg                ,D
 4078,medicine4078                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4079,medicine4079                                     , 10.000000,       100,injection          ,9mg                ,D
 4080,medicine4080                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4081,medicine4081                                     ,  2.000000,       100,injection          ,1mg                ,D
 4082,medicine4082                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4083,medicine4083                                     ,  4.000000,       100,injection          ,3mg                ,D
 4084,medicine4084                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4085,medicine4085                                     ,  6.000000,       100,injection          ,5mg                ,D
 4086,medicine4086                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4087,medicine4087                                     ,  8.000000,       100,injection          ,7mg                ,D
 4088,medicine4088                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4089,medicine4089                                     , 10.000000,       100,injection          ,9mg                ,D
 4090,medicine4090                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4091,medicine4091                                     ,  2.000000,       100,injection          ,1mg                ,D
 4092,medicine4092                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4093,medicine4093                                     ,  4.000000,       100,injection          ,3mg                ,D
 4094,medicine4094                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4095,medicine4095                                     ,  6.000000,       100,injection          ,5mg                ,D
 4096,medicine4096                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4097,medicine4097                                     ,  8.000000,       100,injection          ,7mg                ,D
 4098,medicine4098                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4099,medicine4099                                     , 10.000000,       100,injection          ,9mg                ,D
 4100,medicine4100                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4101,medicine4101                                     ,  2.000000,       100,injection          ,1mg                ,D
 4102,medicine4102                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4103,medicine4103                                     ,  4.000000,       100,injection          ,3mg                ,D
 4104,medicine4104                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4105,medicine4105                                     ,  6.000000,       100,injection          ,5mg                ,D
 4106,medicine4106                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4107,medicine4107                                     ,  8.000000,       100,injection          ,7mg                ,D
 4108,medicine4108                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4109,medicine4109                                     , 10.000000,       100,injection          ,9mg                ,D
 4110,medicine4110                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4111,medicine4111                                     ,  2.000000,       100,injection          ,1mg                ,D
 4112,medicine4112                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4113,medicine4113                                     ,  4.000000,       100,injection          ,3mg                ,D
 4114,medicine4114                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4115,medicine4115                                     ,  6.000000,       100,injection          ,5mg                ,D
 4116,medicine4116                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4117,medicine4117                                     ,  8.000000,       100,injection          ,7mg                ,D
 4118,medicine4118                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4119,medicine4119                                     , 10.000000,       100,injection          ,9mg                ,D
 4120,medicine4120                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4121,medicine4121                                     ,  2.000000,       100,injection          ,1mg                ,D
 4122,medicine4122                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4123,medicine4123                                     ,  4.000000,       100,injection          ,3mg                ,D
 4124,medicine4124                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4125,medicine4125                                     ,  6.000000,       100,injection          ,5mg                ,D
 4126,medicine4126                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4127,medicine4127                                     ,  8.000000,       100,injection          ,7mg                ,D
 4128,medicine4128                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4129,medicine4129                                     , 10.000000,       100,injection          ,9mg                ,D
 4130,medicine4130                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4131,medicine4131                                     ,  2.000000,       100,injection          ,1mg                ,D
 4132,medicine4132                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4133,medicine4133                                     ,  4.000000,       100,injection          ,3mg                ,D
 4134,medicine4134                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4135,medicine4135                                     ,  6.000000,       100,injection          ,5mg                ,D
 4136,medicine4136                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4137,medicine4137                                     ,  8.000000,       100,injection          ,7mg                ,D
 4138,medicine4138                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4139,medicine4139                                     , 10.000000,       100,injection          ,9mg                ,D
 4140,medicine4140                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4141,medicine4141                                     ,  2.000000,       100,injection          ,1mg                ,D
 4142,medicine4142                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4143,medicine4143                                     ,  4.000000,       100,injection          ,3mg                ,D
 4144,medicine4144                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4145,medicine4145                                     ,  6.000000,       100,injection          ,5mg                ,D
 4146,medicine4146                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4147,medicine4147                                     ,  8.000000,       100,injection          ,7mg                ,D
 4148,medicine4148                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4149,medicine4149                                     , 10.000000,       100,injection          ,9mg                ,D
 4150,medicine4150                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4151,medicine4151                                     ,  2.000000,       100,injection          ,1mg                ,D
 4152,medicine4152                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4153,medicine4153                                     ,  4.000000,       100,injection          ,3mg                ,D
 4154,medicine4154                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4155,medicine4155                                     ,  6.000000,       100,injection          ,5mg                ,D
 4156,medicine4156                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4157,medicine4157                                     ,  8.000000,       100,injection          ,7mg                ,D
 4158,medicine4158                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4159,medicine4159                                     , 10.000000,       100,injection          ,9mg                ,D
 4160,medicine4160                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4161,medicine4161                                     ,  2.000000,       100,injection          ,1mg                ,D
 4162,medicine4162                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4163,medicine4163                                     ,  4.000000,       100,injection          ,3mg                ,D
 4164,medicine4164                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4165,medicine4165                                     ,  6.000000,       100,injection          ,5mg                ,D
 4166,medicine4166                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4167,medicine4167                                     ,  8.000000,       100,injection          ,7mg                ,D
 4168,medicine4168                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4169,medicine4169                                     , 10.000000,       100,injection          ,9mg                ,D
 4170,medicine4170                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4171,medicine4171                                     ,  2.000000,       100,injection          ,1mg                ,D
 4172,medicine4172                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4173,medicine4173                                     ,  4.000000,       100,injection          ,3mg                ,D
 4174,medicine4174                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4175,medicine4175                                     ,  6.000000,       100,injection          ,5mg                ,D
 4176,medicine4176                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4177,medicine4177                                     ,  8.000000,       100,injection          ,7mg                ,D
 4178,medicine4178                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4179,medicine4179                                     , 10.000000,       100,injection          ,9mg                ,D
 4180,medicine4180                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4181,medicine4181                                     ,  2.000000,       100,injection          ,1mg                ,D
 4182,medicine4182                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4183,medicine4183                                     ,  4.000000,       100,injection          ,3mg                ,D
 4184,medicine4184                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4185,medicine4185                                     ,  6.000000,       100,injection          ,5mg                ,D
 4186,medicine4186                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4187,medicine4187                                     ,  8.000000,       100,injection          ,7mg                ,D
 4188,medicine4188                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4189,medicine4189                                     , 10.000000,       100,injection          ,9mg                ,D
 4190,medicine4190                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4191,medicine4191                                     ,  2.000000,       100,injection          ,1mg                ,D
 4192,medicine4192                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4193,medicine4193                                     ,  4.000000,       100,injection          ,3mg                ,D
 4194,medicine4194                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4195,medicine4195                                     ,  6.000000,       100,injection          ,5mg                ,D
 4196,medicine4196                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4197,medicine4197                                     ,  8.000000,       100,injection          ,7mg                ,D
 4198,medicine4198                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4199,medicine4199                                     , 10.000000,       100,injection          ,9mg                ,D
 4200,medicine4200                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4201,medicine4201                                     ,  2.000000,       100,injection          ,1mg                ,D
 4202,medicine4202                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4203,medicine4203                                     ,  4.000000,       100,injection          ,3mg                ,D
 4204,medicine4204                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4205,medicine4205                                     ,  6.000000,       100,injection          ,5mg                ,D
 4206,medicine4206                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4207,medicine4207                                     ,  8.000000,       100,injection          ,7mg                ,D
 4208,medicine4208                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4209,medicine4209                                     , 10.000000,       100,injection          ,9mg                ,D
 4210,medicine4210                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4211,medicine4211                                     ,  2.000000,       100,injection          ,1mg                ,D
 4212,medicine4212                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4213,medicine4213                                     ,  4.000000,       100,injection          ,3mg                ,D
 4214,medicine4214                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4215,medicine4215                                     ,  6.000000,       100,injection          ,5mg                ,D
 4216,medicine4216                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4217,medicine4217                                     ,  8.000000,       100,injection          ,7mg                ,D
 4218,medicine4218                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4219,medicine4219                                     , 10.000000,       100,injection          ,9mg                ,D
 4220,medicine4220                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4221,medicine4221                                     ,  2.000000,       100,injection          ,1mg                ,D
 4222,medicine4222                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4223,medicine4223                                     ,  4.000000,       100,injection          ,3mg                ,D
 4224,medicine4224                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4225,medicine4225                                     ,  6.000000,       100,injection          ,5mg                ,D
 4226,medicine4226                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4227,medicine4227                                     ,  8.000000,       100,injection          ,7mg                ,D
 4228,medicine4228                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4229,medicine4229                                     , 10.000000,       100,injection          ,9mg                ,D
 4230,medicine4230                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4231,medicine4231                                     ,  2.000000,       100,injection          ,1mg                ,D
 4232,medicine4232                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4233,medicine4233                                     ,  4.000000,       100,injection          ,3mg                ,D
 4234,medicine4234                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4235,medicine4235                                     ,  6.000000,       100,injection          ,5mg                ,D
 4236,medicine4236                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4237,medicine4237                                     ,  8.000000,       100,injection          ,7mg                ,D
 4238,medicine4238                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4239,medicine4239                                     , 10.000000,       100,injection          ,9mg                ,D
 4240,medicine4240                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4241,medicine4241                                     ,  2.000000,       100,injection          ,1mg                ,D
 4242,medicine4242                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4243,medicine4243                                     ,  4.000000,       100,injection          ,3mg                ,D
 4244,medicine4244                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4245,medicine4245                                     ,  6.000000,       100,injection          ,5mg                ,D
 4246,medicine4246                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4247,medicine4247                                     ,  8.000000,       100,injection          ,7mg                ,D
 4248,medicine4248                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4249,medicine4249                                     , 10.000000,       100,injection          ,9mg                ,D
 4250,medicine4250                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4251,medicine4251                                     ,  2.000000,       100,injection          ,1mg                ,D
 4252,medicine4252                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4253,medicine4253                                     ,  4.000000,       100,injection          ,3mg                ,D
 4254,medicine4254                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4255,medicine4255                                     ,  6.000000,       100,injection          ,5mg                ,D
 4256,medicine4256                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4257,medicine4257                                     ,  8.000000,       100,injection          ,7mg                ,D
 4258,medicine4258                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4259,medicine4259                                     , 10.000000,       100,injection          ,9mg                ,D
 4260,medicine4260                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4261,medicine4261                                     ,  2.000000,       100,injection          ,1mg                ,D
 4262,medicine4262                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4263,medicine4263                                     ,  4.000000,       100,injection          ,3mg                ,D
 4264,medicine4264                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4265,medicine4265                                     ,  6.000000,       100,injection          ,5mg                ,D
 4266,medicine4266                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4267,medicine4267                                     ,  8.000000,       100,injection          ,7mg                ,D
 4268,medicine4268                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4269,medicine4269                                     , 10.000000,       100,injection          ,9mg                ,D
 4270,medicine4270                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4271,medicine4271                                     ,  2.000000,       100,injection          ,1mg                ,D
 4272,medicine4272                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4273,medicine4273                                     ,  4.000000,       100,injection          ,3mg                ,D
 4274,medicine4274                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4275,medicine4275                                     ,  6.000000,       100,injection          ,5mg                ,D
 4276,medicine4276                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4277,medicine4277                                     ,  8.000000,       100,injection          ,7mg                ,D
 4278,medicine4278                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4279,medicine4279                                     , 10.000000,       100,injection          ,9mg                ,D
 4280,medicine4280                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4281,medicine4281                                     ,  2.000000,       100,injection          ,1mg                ,D
 4282,medicine4282                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4283,medicine4283                                     ,  4.000000,       100,injection          ,3mg                ,D
 4284,medicine4284                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4285,medicine4285                                     ,  6.000000,       100,injection          ,5mg                ,D
 4286,medicine4286                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4287,medicine4287                                     ,  8.000000,       100,injection          ,7mg                ,D
 4288,medicine4288                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4289,medicine4289                                     , 10.000000,       100,injection          ,9mg                ,D
 4290,medicine4290                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4291,medicine4291                                     ,  2.000000,       100,injection          ,1mg                ,D
 4292,medicine4292                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4293,medicine4293                                     ,  4.000000,       100,injection          ,3mg                ,D
 4294,medicine4294                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4295,medicine4295                                     ,  6.000000,       100,injection          ,5mg                ,D
 4296,medicine4296                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4297,medicine4297                                     ,  8.000000,       100,injection          ,7mg                ,D
 4298,medicine4298                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4299,medicine4299                                     , 10.000000,       100,injection          ,9mg                ,D
 4300,medicine4300                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4301,medicine4301                                     ,  2.000000,       100,injection          ,1mg                ,D
 4302,medicine4302                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4303,medicine4303                                     ,  4.000000,       100,injection          ,3mg                ,D
 4304,medicine4304                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4305,medicine4305                                     ,  6.000000,       100,injection          ,5mg                ,D
 4306,medicine4306                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4307,medicine4307                                     ,  8.000000,       100,injection          ,7mg                ,D
 4308,medicine4308                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4309,medicine4309                                     , 10.000000,       100,injection          ,9mg                ,D
 4310,medicine4310                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4311,medicine4311                                     ,  2.000000,       100,injection          ,1mg                ,D
 4312,medicine4312                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4313,medicine4313                                     ,  4.000000,       100,injection          ,3mg                ,D
 4314,medicine4314                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4315,medicine4315                                     ,  6.000000,       100,injection          ,5mg                ,D
 4316,medicine4316                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4317,medicine4317                                     ,  8.000000,       100,injection          ,7mg                ,D
 4318,medicine4318                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4319,medicine4319                                     , 10.000000,       100,injection          ,9mg                ,D
 4320,medicine4320                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4321,medicine4321                                     ,  2.000000,       100,injection          ,1mg                ,D
 4322,medicine4322                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4323,medicine4323                                     ,  4.000000,       100,injection          ,3mg                ,D
 4324,medicine4324                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4325,medicine4325                                     ,  6.000000,       100,injection          ,5mg                ,D
 4326,medicine4326                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4327,medicine4327                                     ,  8.000000,       100,injection          ,7mg                ,D
 4328,medicine4328                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4329,medicine4329                                     , 10.000000,       100,injection          ,9mg                ,D
 4330,medicine4330                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4331,medicine4331                                     ,  2.000000,       100,injection          ,1mg                ,D
 4332,medicine4332                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4333,medicine4333                                     ,  4.000000,       100,injection          ,3mg                ,D
 4334,medicine4334                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4335,medicine4335                                     ,  6.000000,       100,injection          ,5mg                ,D
 4336,medicine4336                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4337,medicine4337                                     ,  8.000000,       100,injection          ,7mg                ,D
 4338,medicine4338                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4339,medicine4339                                     , 10.000000,       100,injection          ,9mg                ,D
 4340,medicine4340                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4341,medicine4341                                     ,  2.000000,       100,injection          ,1mg                ,D
 4342,medicine4342                                     ,  3.000000,       100,tablet             ,2mg                ,A
 4343,medicine4343                                     ,  4.000000,       100,injection          ,3mg                ,D
 4344,medicine4344                                     ,  5.000000,       100,tablet             ,4mg                ,A
 4345,medicine4345                                     ,  6.000000,       100,injection          ,5mg                ,D
 4346,medicine4346                                     ,  7.000000,       100,tablet             ,6mg                ,A
 4347,medicine4347                                     ,  8.000000,       100,injection          ,7mg                ,D
 4348,medicine4348                                     ,  9.000000,       100,tablet             ,8mg                ,A
 4349,medicine4349                                     , 10.000000,       100,injection          ,9mg                ,D
 4350,medicine4350                                     ,  1.000000,       100,tablet             ,0mg                ,A
 4351,medicine4351                                     ,  2.000000,       100,injection          ,1mg                ,D
